Id,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
ITSUPtCmh7WdJcsYDwQ5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.08777e-33,0.0
Ig2DB5tSiEy1cJvV0zdw,1.60766e-33,1.49229e-31,4.66326e-31,1.35479e-32,1.0,0.0,1.28144e-27,6.88074e-22,0.0
Jmo6eIhLZ4t9r8QsxEg5,0.0,0.0,0.0,0.0,1.0,0.0,2.19277e-30,5.56811e-30,4.21679e-38
JtPFl4ewgdD78OzCMa3o,2.46234e-38,0.0,1.13846e-33,2.17768e-32,1.0,2.51564e-36,4.33675e-37,1.27919e-18,1.28053e-30
K3ZtByPHGSFYNljDUEXp,1.44483e-33,1.05291e-32,1.0,8.59664e-36,0.0,3.28331e-26,1.46457e-31,2.60404e-15,2.66081e-35
K5PTipJ9XhUo4ZNeMW2a,1.9841e-26,0.0,1.0,2.29547e-38,0.0,7.2684e-28,4.76798e-33,2.35879e-14,0.0
K5qpgj7bdnhS2r30OEzY,8.06844e-28,2.7113e-34,1.0,3.61942e-36,6.22321e-37,3.92406e-21,1.27864e-26,2.63262e-14,0.0
K62VOEBLnk8crZ4MmsXT,1.53524e-22,8.28773e-32,1.0,3.22118e-35,6.74138e-30,7.86433e-20,5.74782e-23,4.24964e-15,8.33658e-35
K7ZiVIxskzvctNT0qyA3,7.85302e-23,3.77998e-30,1.0,2.18562e-31,4.59699e-24,1.63479e-21,1.26991e-21,8.26942e-15,5.55635e-34
K89sTRoP52wWL7rZUNdt,4.01423e-30,5.06838e-34,1.0,8.6027e-32,4.47303e-38,8.45404e-28,5.74033e-29,8.43376e-14,1.25438e-37
K9moual27cWIk5bJOpiH,2.32896e-30,7.81042e-28,1.0,1.38333e-35,0.0,1.75132e-31,9.48903e-32,4.22282e-15,1.07261e-27
KAPHdnDUgF3m5pEGwxXc,5.78659e-29,1.47983e-34,1.0,0.0,0.0,3.33483e-23,8.40385e-27,1.36655e-15,0.0
KB7ybYxf95pdtUoGzl3u,6.97656e-21,2.99546e-34,1.0,4.23905e-38,3.70071e-30,5.24956e-20,9.39054e-26,2.21477e-15,1.12504e-35
KBZ4cC3QsAgrqI80OWlm,1.51287e-20,1.77475e-34,1.0,0.0,2.88416e-32,7.37169e-21,2.5137e-26,9.86692e-17,6.45418e-36
KBZO3jLb5A7ieDWYTMgR,9.69948e-30,0.0,1.0,0.0,0.0,7.16447e-33,3.55624e-36,8.84205e-16,0.0
KBbVJcQrqAu4zROsEwi0,6.00445e-29,0.0,1.0,0.0,0.0,1.00776e-31,1.85166e-35,9.91121e-16,0.0
KCvj7cQ1dHEFDBruTZpV,3.04533e-18,6.7097e-34,1.0,3.08185e-38,2.08888e-27,7.39262e-19,1.06347e-24,1.33568e-15,6.53222e-32
KCvjZO7bGhenNRq8xLsf,1.10244e-29,2.93892e-30,1.0,5.44836e-33,5.10343e-37,6.87356e-28,2.86928e-30,1.21824e-14,1.63976e-31
KDHx9P6m25ocdLaqVn8k,5.20002e-31,4.35265e-29,1.0,4.53706e-36,0.0,5.20635e-32,1.78172e-33,3.48549e-15,2.75563e-29
KDQ13ouamdPnSlhzTRJe,1.0,0.0,1.7265e-29,0.0,0.0,0.0,5.90143e-33,1.43803e-25,4.73262e-29
KE3w1tc4flX7UngQ5yTq,9.29086e-28,2.7361e-33,1.0,7.18659e-38,0.0,3.50588e-22,3.47081e-25,6.75618e-15,7.21522e-38
KEhusGlH2O4qwTymPZRQ,2.08641e-28,6.61965e-34,1.0,1.82423e-35,7.74193e-36,5.52578e-19,8.18992e-25,4.09322e-14,0.0
KFBXbSr9a8mYC7cDkflH,5.06028e-21,3.13158e-29,1.0,3.64611e-29,5.67887e-22,8.21277e-21,1.49436e-20,1.87597e-14,3.99687e-32
KFHlYPzy0Emni9exLs3C,1.0,0.0,6.75839e-24,0.0,7.85812e-35,1.40175e-31,6.27743e-28,5.4326e-21,1.4993e-25
KFboDTnWNsOkzIl8rX6R,1.04054e-27,1.30693e-32,1.0,0.0,0.0,5.95378e-23,4.45319e-24,1.33677e-15,9.99745e-37
KFczEQCIau7D20MROmHl,1.94872e-25,4.52281e-14,1.0,5.54748e-33,3.12035e-34,6.30924e-29,3.39747e-27,8.2697e-12,3.15505e-23
KFlbgmf4GZjHhIsX92Yr,2.06827e-17,1.24238e-33,1.0,0.0,1.14857e-26,5.1493e-19,3.93258e-24,4.59371e-16,9.87222e-32
KG6ZtkgjohnTHX9McR4w,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KGA8EhzSPqxyN9wCmeiV,0.0,3.92358e-37,1.21878e-33,2.31886e-27,1.0,2.46169e-32,5.21364e-24,8.69992e-25,1.48867e-35
KGPCEf430IcB1OpbthkR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHc36DE5SXAedfmtq7pI,1.0,1.59529e-34,7.25131e-31,0.0,5.84746e-37,9.06184e-28,3.3862e-27,6.04122e-25,1.59547e-19
KHepg3qX6ZWOy2VsdRDQ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHpJcA0hTf7yrBuMia3S,1.80927e-17,1.71544e-19,3.57125e-31,6.2776e-36,7.73493e-37,2.22273e-28,2.76901e-31,2.93065e-27,1.0
KI1eOvfhVoEsa50DLQdA,2.02219e-27,0.0,1.0,0.0,0.0,1.57452e-29,6.81976e-35,1.85903e-15,0.0
KI6VEf2DqSA1MwOmNkne,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KI96FxUmuC5XiYrBOhos,1.83777e-23,4.29822e-26,1.0,2.25894e-26,8.92134e-23,5.82945e-18,3.98839e-19,3.85047e-11,3.69769e-32
KIBotXZz3920bRdQDx6q,1.0,2.10153e-27,4.68012e-22,5.11222e-22,1.65798e-26,1.38801e-22,1.33153e-17,1.28308e-16,7.68015e-22
KJAPc4qD5tMsXxkGVoe7,1.0,8.0136e-28,2.10053e-20,7.86386e-32,9.60352e-24,9.94635e-24,6.42386e-24,4.5317e-16,1.90356e-21
KJfPRg9v7YoDId8Tur36,7.35424e-37,2.06351e-36,0.0,0.0,0.0,7.66709e-38,0.0,4.77699e-34,1.0
KJrPf2Vo34EFvyHTb5ca,8.67156e-32,9.77397e-32,0.0,0.0,0.0,3.61167e-34,0.0,3.46327e-33,1.0
KLCJ54mcXibYSkrIowea,2.09831e-22,2.61964e-30,1.0,6.75879e-28,5.54936e-27,9.56449e-21,1.44833e-22,5.03071e-13,2.77623e-30
KLWS8rqmP5CaIdl9Rbwt,1.83873e-15,8.85214e-16,1.02731e-21,9.0794e-16,1.96805e-23,1.0,2.33268e-14,2.51004e-15,6.42622e-15
